Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Ventada,Raimat,Cataluña,Catalunya,2016.0,White,Garnacha Blanca,12.0,13.0,8.0
La Condenada,Artuke Bodegas y Viñedos,La Rioja (España),Rioja,2015.0,Red,"Tempranillo (80%), Garnacha (7%), Graciano (7%), Calagraño (6%)",14.0,17.0,37.0
Arizcuren Solo Mazuelo,Arizcuren Vinos,La Rioja (España),Rioja,2014.0,Red,Mazuelo,13.0,17.0,25.0
Nahi,Sierra de Toloño,La Rioja (España),Rioja,2016.0,White,"Alarije, Macabeo, Calagraño",13.0,16.5,21.0
Inédito Blanco,Bodegas Lacus,La Rioja (España),Rioja,2014.0,White,Garnacha Blanca,13.0,16.5,15.0
Arizcuren Solo Mazuelo,Arizcuren Vinos,La Rioja (España),Rioja,2013.0,Red,Mazuelo,13.0,16.5,25.0
Finca de los Locos,Artuke Bodegas y Viñedos,La Rioja (España),Rioja,2015.0,Red,"Tempranillo (80%), Graciano (20%)",14.0,16.0,20.0
K4,Artuke Bodegas y Viñedos,La Rioja (España),Rioja,2015.0,Red,"Tempranillo (75%), Graciano (25%)",14.0,16.0,30.0
Ilurce El Sueño de Amado,Bodegas y Viñedos Ilurce,La Rioja (España),Rioja,2014.0,Red,Garnacha,15.0,16.0,20.0
Ilurce Crianza,Bodegas y Viñedos Ilurce,La Rioja (España),Rioja,2012.0,Red,"Garnacha, Graciano",14.0,16.0,10.0
Sierra de Toloño Blanco,Sierra de Toloño,La Rioja (España),Rioja,2016.0,White,Macabeo,12.5,15.5,9.5
Arizcuren Solo Garnacha,Arizcuren Vinos,La Rioja (España),Rioja,2015.0,Red,Garnacha,15.0,15.5,25.0
El Conjuro,Finca de los Arandinos,La Rioja (España),Rioja,2015.0,Red,"Tempranillo, Garnacha",14.5,15.5,15.0
El Tejar,Finca de los Arandinos,La Rioja (España),Rioja,2015.0,Red,Tempranillo,15.5,15.5,18.0
Cerro de las Mulas,Artuke Bodegas y Viñedos,La Rioja (España),Rioja,2015.0,Red,Tempranillo,14.0,15.5,20.0
Rivas de Tereso,Sierra de Toloño,La Rioja (España),Rioja,2015.0,Red,Tempranillo,14.0,15.5,29.0
Ilurce Graciano Crianza,Bodegas y Viñedos Ilurce,La Rioja (España),Rioja,2010.0,Red,Graciano,14.0,15.5,14.0
Viero,Finca de los Arandinos,La Rioja (España),Rioja,2015.0,White,Macabeo,13.0,15.0,9.0
Inédito Turrax,Bodegas Lacus,La Rioja (España),Rioja,2014.0,White,"Albillo Mayor, Maturana Blanca",13.0,15.0,13.0
