Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Merlot Hill Crianza,Cavas Hill,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.0,13.0,10.16,Merlot,1,Pure
Jean Leon Cabernet Sauvignon Gran Reserva,Jean Leon,Cataluña,Penedès,1994.0,Red,"Cabernet Sauvignon (85%), Cabernet Franc (15%)",13.5,13.0,20.0,Cabernet,2,Mixed
Sumarroca Cabernet Sauvignon Crianza,Bodegues Sumarroca,Cataluña,Penedès,2000.0,Red,Cabernet Sauvignon (100%),13.0,12.5,15.1,Cabernet,1,Pure
Hill Gran Reserva,Cavas Hill,Cataluña,Penedès,1998.0,Red,"Cabernet Sauvignon (60%), Tempranillo (30%), Syrah (10%)",13.0,12.5,17.98,Cabernet,3,Mixed
Jané Ventura Finca Els Camps,Jané Ventura,Cataluña,Penedès,2000.0,White,"Macabeo (95%), Xarel·lo (5%)",13.0,12.0,13.85,Macabeo,2,Mixed
Heretat Vall-Ventós Merlot,Joan Raventós Rosell,Cataluña,Penedès,2001.0,Red,Merlot (100%),12.5,12.0,7.6,Merlot,1,Pure
Bach Cabernet Sauvignon,Masia Bach,Cataluña,Penedès,1999.0,Red,"Cabernet Sauvignon (85%), Tempranillo (15%)",13.0,12.0,6.0,Cabernet,2,Mixed
Jaume Serra Merlot Roble,Jaume Serra,Cataluña,Penedès,2001.0,Red,Merlot,12.5,11.5,3.5,Merlot,1,Pure
Jaume Serra Selección,Jaume Serra,Cataluña,Penedès,2001.0,Red,Cabernet Sauvignon,13.0,11.0,4.7,Cabernet,1,Pure
Sumarroca Crianza Merlot,Bodegues Sumarroca,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.0,11.0,13.5,Merlot,1,Pure
Torre del Veguer Cabernet Sauvignon,Bodegas Torre del Veguer,Cataluña,Penedès,2000.0,Red,Cabernet Sauvignon,13.5,10.5,6.95,Cabernet,1,Pure
Terrasola Sauvignon Blanc/Garnacha,Jean Leon,Cataluña,Catalunya,2002.0,White,"Sauvignon Blanc (75%), Garnacha Blanca (25%)",12.0,14.5,8.5,Sauvignon,2,Mixed
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,2001.0,Red,"Garnacha, Cariñena, Cabernet Sauvignon",13.5,14.5,5.38,Garnacha,3,Mixed
Jané Ventura Margalló,Jané Ventura,Cataluña,Penedès,2001.0,Red,"Tempranillo (60%), Merlot (20%), Cabernet Sauvignon (20%)",14.0,14.5,11.5,Tempranillo,3,Mixed
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,2002.0,White,"Sauvignon Blanc, Chardonnay",12.0,14.0,5.55,Sauvignon,2,Mixed
Vall-Ventós Viña Bordoy,Joan Raventós Rosell,Cataluña,Penedès,2001.0,Red,"Tempranillo (75%), Merlot (25%)",12.0,14.0,5.0,Tempranillo,2,Mixed
Gran Civet Hill,Cavas Hill,Cataluña,Penedès,2000.0,Red,"Tempranillo (50%), Cabernet Sauvignon (35%), Merlot (15%)",12.5,14.0,5.5,Tempranillo,3,Mixed
Ferret Negre Reserva,Cavas Ferret,Cataluña,Penedès,1998.0,Red,"Tempranillo (50%), Cabernet Sauvignon (30%), Merlot (20%)",13.0,14.0,9.88,Tempranillo,3,Mixed
Ferret Negre Criança,Cavas Ferret,Cataluña,Penedès,1999.0,Red,"Tempranillo (50%), Cabernet Sauvignon (26%), Merlot (24%)",13.0,13.5,7.25,Tempranillo,3,Mixed
Perfum de Vi Blanc,Raventós i Blanc,Cataluña,Penedès,2002.0,White,Otras (%),12.0,13.0,4.52,Otras,1,Pure
Can Feixes Blanc Selecció,Huguet de Can Feixes,Cataluña,Penedès,2002.0,White,"Parellada (45%), Chardonnay (30%), Macabeo (25%)",11.5,13.0,5.3,Parellada,3,Mixed
Terrasola Muscat-Parellada,Jean Leon,Cataluña,Catalunya,2002.0,White,"Muscat (87%), Parellada (13%)",12.0,13.0,8.5,Muscat,2,Mixed
Heretat Vall-Ventós Sauvignon Blanc,Joan Raventós Rosell,Cataluña,Penedès,2002.0,White,Sauvignon Blanc (100%),12.5,12.5,6.5,Sauvignon,1,Pure
Torre del Veguer Sauvignon Blanc,Bodegas Torre del Veguer,Cataluña,Penedès,2002.0,White,Sauvignon Blanc,12.5,12.5,5.75,Sauvignon,1,Pure
Sumarroca Gewürztraminer,Bodegues Sumarroca,Cataluña,Penedès,2002.0,White,Gewürztraminer,11.5,12.0,6.78,Gewürztraminer,1,Pure
Torre del Veguer Muscat,Bodegas Torre del Veguer,Cataluña,Penedès,2002.0,White,Muscat,11.5,12.0,5.15,Muscat,1,Pure
Bach Extrísimo Seco,Masia Bach,Cataluña,Penedès,2002.0,White,Otras (%),12.0,11.5,3.2,Otras,1,Pure
Albet i Noya Tempranillo Clàssic,Albet i Noya,Cataluña,Penedès,2002.0,Red,Tempranillo,13.0,11.0,4.52,Tempranillo,1,Pure
Can Feixes Negre Selecció,Huguet de Can Feixes,Cataluña,Penedès,2001.0,Red,"Ull de Llebre, Merlot, Cabernet Sauvignon",14.0,11.0,9.0,Ull,3,Mixed
Ferré i Catasús Blanc d'Expressió,Castell del Mirall,Cataluña,Penedès,2002.0,White,"Moscatel, Sauvignon Blanc, Xarel·lo, Chardonnay, Parellada",11.5,10.0,6.5,Moscatel,5,Mixed
Jané Ventura Mas Vilella,Jané Ventura,Cataluña,Penedès,1999.0,Red,Cabernet Sauvignon (100%),13.9,17.0,21.0,Cabernet,1,Pure
Can Feixes Chardonnay,Huguet de Can Feixes,Cataluña,Penedès,2001.0,White,Chardonnay (100%),13.0,15.0,15.0,Chardonnay,1,Pure
Jané Ventura Finca Els Camps,Jané Ventura,Cataluña,Penedès,2000.0,Red,"Tempranillo (95%), Cabernet Sauvignon (5%)",13.9,15.0,21.0,Tempranillo,2,Mixed
Chardonnay Hill,Cavas Hill,Cataluña,Penedès,2002.0,White,Chardonnay (100%),12.5,14.5,7.1,Chardonnay,1,Pure
Sot Lefriec,Alemany i Corrio (Sot Lefriec),Cataluña,Penedès,2000.0,Red,Otras (%),13.5,14.0,55.0,Otras,1,Pure
Petrea,Mas Comtal,Cataluña,Penedès,2000.0,Red,Merlot (100%),14.0,14.0,30.0,Merlot,1,Pure
Heretat Vall-Ventós Chardonnay,Joan Raventós Rosell,Cataluña,Penedès,2002.0,White,Chardonnay (100%),12.5,13.0,6.5,Chardonnay,1,Pure
Heretat Mas Tinell Chardonnay,Heretat Mas Tinell,Cataluña,Penedès,2002.0,White,Chardonnay,12.0,13.0,5.5,Chardonnay,1,Pure
Llopart Chardonnay,Pere Llopart Vilarós,Cataluña,Penedès,2002.0,White,Chardonnay (100%),12.5,13.0,8.1,Chardonnay,1,Pure
Petrea,Mas Comtal,Cataluña,Penedès,2001.0,White,"Chardonnay, Xarel·lo",13.5,13.0,20.0,Chardonnay,2,Mixed
Albet i Noya Col.lecció Syrah,Albet i Noya,Cataluña,Penedès,2000.0,Red,Syrah,13.5,13.0,13.3,Syrah,1,Pure
Can Feixes Reserva Especial,Huguet de Can Feixes,Cataluña,Penedès,1998.0,Red,"Cabernet Sauvignon (70%), Merlot (20%), Tempranillo (10%)",14.0,13.0,20.5,Cabernet,3,Mixed
Can Vendrell de la Codina Chardonnay-Xarel.lo,Albet i Noya,Cataluña,Penedès,2002.0,White,"Chardonnay, Xarel·lo",12.0,12.0,3.13,Chardonnay,2,Mixed
Valdelosfrailes Vendimia Seleccionada,Bodega Valdelosfrailes,Castilla y León,Cigales,2001.0,Red,Tinto Fino,13.5,16.0,6.96,Tinto,1,Pure
La Legua,Bodegas Emeterio Fernández (La Legua),Castilla y León,Cigales,1999.0,Red,Tempranillo,13.5,13.5,12.0,Tempranillo,1,Pure
Valdelosfrailes Rosado,Bodega Valdelosfrailes,Castilla y León,Cigales,2002.0,Rose,Tinto Fino,13.0,13.0,4.35,Tinto,1,Pure
Fuente del Conde,Bodegas González Lara. S.A.,Castilla y León,Cigales,2000.0,Red,Tempranillo (100%),13.0,13.0,3.0,Tempranillo,1,Pure
Fuente del Conde Crianza,Bodegas González Lara. S.A.,Castilla y León,Cigales,1999.0,Red,Tempranillo (100%),13.0,13.0,4.5,Tempranillo,1,Pure
Lezcano-Lacalle Crianza,Bodegas Lezcano-Lacalle,Castilla y León,Cigales,1999.0,Red,"Tempranillo (80%), Merlot (20%)",13.5,13.0,8.53,Tempranillo,2,Mixed
Viña Sesmero,Bodegas y Viñedos Valeriano,Castilla y León,Cigales,2002.0,Rose,"Tempranillo (70%), Garnacha (15%), Verdejo (15%)",12.5,12.5,1.95,Tempranillo,3,Mixed
Calderona Reserva,Bodegas Frutos Villar,Castilla y León,Cigales,1998.0,Red,Otras (%),13.0,12.5,7.9,Otras,1,Pure
Lezcano-Lacalle Reserva,Bodegas Lezcano-Lacalle,Castilla y León,Cigales,1998.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.5,12.5,16.0,Tempranillo,2,Mixed
Calderona,Bodegas Frutos Villar,Castilla y León,Cigales,2002.0,Rose,Otras (%),12.5,12.0,2.9,Otras,1,Pure
El Berrojo,Bodegas y Viñedos Valeriano,Castilla y León,Cigales,2002.0,Rose,"Tempranillo (70%), Garnacha (15%)",12.5,11.5,1.95,Tempranillo,2,Mixed
Grand'on Crianza,Bodegas Solar de Laguna,Castilla y León,Cigales,2000.0,Red,Otras (%),13.0,11.5,4.5,Otras,1,Pure
Viña Zapata,Bodegas González Lara. S.A.,Castilla y León,Cigales,2002.0,Rose,"Garnacha (50%), Tempranillo (40%), Viura (10%)",13.0,11.0,2.4,Garnacha,3,Mixed
Docetañidos,Bodegas Lezcano-Lacalle,Castilla y León,Cigales,2002.0,Rose,"Tempranillo (80%), Verdejo, Sauvignon Blanc",12.5,10.5,3.85,Tempranillo,3,Mixed
Viña Catajarros,Hijos de Crescencia Merino,Castilla y León,Cigales,2002.0,Rose,"Tempranillo (90%), Verdejo (10%)",12.5,10.5,2.1,Tempranillo,2,Mixed
Valdetan Roble,Bodegas Emeterio Fernández (La Legua),Castilla y León,Cigales,2001.0,Red,Tempranillo (100%),13.0,10.5,5.45,Tempranillo,1,Pure
Carratraviesa,Bodegas Hijos de Rufino Iglesias,Castilla y León,Cigales,2002.0,Rose,"Tempranillo (80%), Garnacha (10%), Otras (10%)",13.0,10.0,2.3,Tempranillo,3,Mixed
Gámez Alba,Cellers Camp de Tarragona,Cataluña,Catalunya,2002.0,Red,"Cabernet Sauvignon, Merlot, Tempranillo",12.0,14.0,6.67,Cabernet,3,Mixed
Rejadorada Crianza,Bodegas Rejadorada,Castilla y León,Toro,2000.0,Red,Tinta de Toro,13.5,14.0,6.5,Tinta,1,Pure
Elias Mora,Bodegas Elías Mora,Castilla y León,Toro,2000.0,Red,Tinta de Toro,14.0,13.5,12.0,Tinta,1,Pure
Vega Sauco Adoremus,Bodegas Vega Saúco,Castilla y León,Toro,1998.0,Red,Tinta de Toro,13.5,13.5,11.0,Tinta,1,Pure
Villachica Crianza,Palacio de Villachica,Castilla y León,Toro,2000.0,Red,Tinta de Toro,13.5,13.0,8.2,Tinta,1,Pure
Gamazo Crianza,Bodegas Francisco Casas,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,12.5,5.7,Tinta,1,Pure
Vega Sauco Crianza,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,12.5,7.0,Tinta,1,Pure
Vega Sauco Pago Sta. Olalla,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,12.5,8.0,Tinta,1,Pure
Bajoz Reserva,Bodega Viña Bajoz,Castilla y León,Toro,1998.0,Red,Tinta de Toro,13.5,12.5,12.0,Tinta,1,Pure
Gran Colegiata,Bodegas Fariña,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,12.0,7.0,Tinta,1,Pure
Camparrón Reserva,Bodegas Francisco Casas,Castilla y León,Toro,1998.0,Red,Tinta de Toro,13.5,12.0,9.0,Tinta,1,Pure
Camparrón Crianza,Bodegas Francisco Casas,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,11.5,5.7,Tinta,1,Pure
Quinta Quietud,Quinta de la Quietud,Castilla y León,Toro,2000.0,Red,Tinta de Toro,14.3,17.0,19.0,Tinta,1,Pure
Bienvenida Sitio del Palo (muestra),Bienvenida de Vinos,Castilla y León,Toro,2001.0,Red,Tinta de Toro,14.0,16.5,22.0,Tinta,1,Pure
Quinta Quietud,Quinta de la Quietud,Castilla y León,Toro,1999.0,Red,Tinta de Toro,14.0,15.0,19.0,Tinta,1,Pure
Gran Bajoz Viñas Viejas,Bodega Viña Bajoz,Castilla y León,Toro,2000.0,Red,Tinto de Toro,13.5,14.5,27.5,Tinto,1,Pure
Gran Elias Mora,Bodegas Elías Mora,Castilla y León,Toro,2000.0,Red,Tinta de Toro,14.0,14.0,25.0,Tinta,1,Pure
Rejadorada Roble,Bodegas Rejadorada,Castilla y León,Toro,2002.0,Red,Tinta de Toro,13.5,13.5,4.5,Tinta,1,Pure
Gran Colegiata Campus Sel.Especial de Viñas Viejas,Bodegas Fariña,Castilla y León,Toro,1999.0,Red,Tinta de Toro,13.5,13.0,18.0,Tinta,1,Pure
Bajoz Roble,Bodega Viña Bajoz,Castilla y León,Toro,2001.0,Red,Tinta de Toro,13.5,12.0,4.5,Tinta,1,Pure
Vega Sauco Roble,Bodegas Vega Saúco,Castilla y León,Toro,2001.0,Red,Tinta de Toro,13.5,12.0,4.0,Tinta,1,Pure
Liberalia Tres,Liberalia Enológica,Castilla y León,Toro,2002.0,Red,Tinta de Toro,13.5,12.0,5.85,Tinta,1,Pure
Gamazo Roble,Bodegas Francisco Casas,Castilla y León,Toro,2000.0,Red,Tinta de Toro,13.5,11.5,4.8,Tinta,1,Pure
Palacio de Villachica Roble,Palacio de Villachica,Castilla y León,Toro,2001.0,Red,Tinta de Toro,13.5,11.5,4.68,Tinta,1,Pure
Camparrón Selección Roble,Bodegas Francisco Casas,Castilla y León,Toro,2000.0,Red,Tinta de Toro,13.5,10.5,4.8,Tinta,1,Pure
Clos Les Fites,La Perla del Priorat,Cataluña,Priorat,2001.0,Red,"Cabernet Sauvignon, Cariñena, Garnacha",15.0,15.0,12.6,Cabernet,3,Mixed
Coma Vella,Viticultors Mas d'en Gil,Cataluña,Priorat,2001.0,Red,"Cabernet Sauvignon (30%), Cariñena (25%), Garnacha (20%), Garnacha Peluda (15%), Syrah (10%)",14.5,15.0,16.0,Cabernet,5,Mixed
Marge,Celler de L'Encastell,Cataluña,Priorat,2001.0,Red,"Garnacha (50%), Cabernet Sauvignon, Merlot, Syrah",14.0,14.0,14.0,Garnacha,4,Mixed
Ardévol Coma d'en Romeu,Celler Ardévol,Cataluña,Priorat,2000.0,Red,"Cabernet Sauvignon (50%), Merlot (20%), Syrah (20%), Garnacha (10%)",13.5,14.0,18.0,Cabernet,4,Mixed
Barranc dels Closos,Mas Igneus,Cataluña,Priorat,2001.0,Red,"Garnacha (70%), Cariñena (30%)",14.0,14.0,9.2,Garnacha,2,Mixed
Mas Igneus FA206,Mas Igneus,Cataluña,Priorat,2001.0,Red,"Garnacha (70%), Cariñena (20%), Cabernet Sauvignon (7%), Syrah (3%)",14.0,14.0,11.6,Garnacha,4,Mixed
Masos d'en Cubells,Cellers Capafons-Ossó,Cataluña,Priorat,2001.0,Red,"Garnacha, Mazuelo, Cabernet Sauvignon, Merlot, Syrah",14.0,14.0,20.0,Garnacha,5,Mixed
Pasanau La Morera del Montsant (muestra),Pasanau Germans,Cataluña,Priorat,2001.0,Red,Otras (%),14.0,14.0,15.0,Otras,1,Pure
Coma Blanca,Viticultors Mas d'en Gil,Cataluña,Priorat,2001.0,White,"Garnacha Blanca (50%), Macabeo (50%)",14.5,13.5,21.0,Garnacha,2,Mixed
Clos Severí,Celler Mas Garrian,Cataluña,Priorat,2001.0,Red,"Cariñena (35%), Garnacha (30%), Cabernet Sauvignon (20%), Syrah (15%)",13.5,13.5,18.0,Cariñena,4,Mixed
Closa Batllet,Cellers Ripoll Sans,Cataluña,Priorat,2001.0,White,Escanyavella,13.5,13.0,11.0,Escanyavella,1,Pure
Martinet Bru,Mas Martinet Viticultors,Cataluña,Priorat,2001.0,Red,Otras (%),14.5,13.0,14.0,Otras,1,Pure
Giné Giné,Buil & Giné,Cataluña,Priorat,2001.0,Red,Otras (%),14.0,12.5,8.0,Otras,1,Pure
Joan Giné Giné,Buil & Giné,Cataluña,Priorat,2000.0,Red,Otras (%),13.8,12.5,14.0,Otras,1,Pure
L'Espill,Celler Cecilio,Cataluña,Priorat,2000.0,Red,"Garnacha (60%), Cabernet Sauvignon (30%), Cariñena (10%)",14.0,12.5,20.0,Garnacha,3,Mixed
Blanc de Montsalvat,Cellers Vilella de La Cartoixa,Cataluña,Priorat,2002.0,White,"Macabeo (60%), Trepat (20%), Otras (20%)",14.0,12.0,12.0,Macabeo,3,Mixed
Les Terrasses,Alvaro Palacios,Cataluña,Priorat,2001.0,Red,"Cariñena, Garnacha, Otras",14.0,12.0,20.0,Cariñena,3,Mixed
Montsalvat,Cellers Vilella de La Cartoixa,Cataluña,Priorat,2001.0,Red,"Cariñena (65%), Garnacha (25%), Cabernet Sauvignon (5%), Merlot (5%)",14.0,12.0,24.0,Cariñena,4,Mixed
Embruix de Vall Llach,Celler Vall Llach,Cataluña,Priorat,2001.0,Red,Otras (%),14.5,12.0,17.0,Otras,1,Pure
Scala Dei Negre 2001,Cellers Scala Dei,Cataluña,Priorat,2001.0,Red,Garnacha,13.5,11.5,8.5,Garnacha,1,Pure
Clos Berenguer,Clos de Tafall,Cataluña,Priorat,2000.0,Red,"Cariñena, Garnacha, Cabernet Sauvignon",14.4,10.0,10.6,Cariñena,3,Mixed
Vall Llach,Celler Vall Llach,Cataluña,Priorat,2001.0,Red,"Cariñena (50%), Merlot (40%), Cabernet Sauvignon (10%)",14.5,18.0,55.0,Cariñena,3,Mixed
Pasanau Finca la Planeta (muestra),Pasanau Germans,Cataluña,Priorat,2001.0,Red,Otras (%),14.0,17.0,20.0,Otras,1,Pure
Costers de Mas Igneus,Mas Igneus,Cataluña,Priorat,2001.0,Red,"Garnacha (80%), Cariñena (20%)",14.0,17.0,43.0,Garnacha,2,Mixed
Clos Martinet,Mas Martinet Viticultors,Cataluña,Priorat,2001.0,Red,Otras (%),14.5,16.5,40.0,Otras,1,Pure
Clos Garsed,"Bellserraí, Garsed e Hijos",Cataluña,Priorat,2001.0,Red,"Cariñena (45%), Garnacha (30%), Cabernet Sauvignon (15%), Syrah (10%)",14.0,16.0,30.0,Cariñena,4,Mixed
Lo Givot,Celler del Pont,Cataluña,Priorat,2001.0,Red,Otras (%),14.0,16.0,30.0,Otras,1,Pure
Clos Fontà,Viticultors Mas d'en Gil,Cataluña,Priorat,2001.0,Red,"Garnacha Peluda (30%), Garnacha (25%), Cabernet Sauvignon (25%), Cariñena (20%)",15.0,16.0,33.0,Garnacha,4,Mixed
Iugiter Selecció de Vinyes Velles,La Conreria d'Scala Dei,Cataluña,Priorat,2001.0,Red,Otras (%),14.0,15.0,30.0,Otras,1,Pure
Mas de Masos,Cellers Capafons-Ossó,Cataluña,Priorat,2000.0,Red,"Garnacha, Cabernet Sauvignon, Cariñena",14.5,15.0,35.0,Garnacha,3,Mixed
Idus de Vall Llach,Celler Vall Llach,Cataluña,Priorat,2001.0,Red,Otras (%),14.5,15.0,35.0,Otras,1,Pure
Doix,Celler Mas Doix,Cataluña,Priorat,2001.0,Red,"Garnacha (50%), Cariñena (47%), Merlot (3%)",15.0,15.0,48.0,Garnacha,3,Mixed
Closa Batllet,Cellers Ripoll Sans,Cataluña,Priorat,2001.0,Red,"Cariñena (65%), Garnacha (21%), Cabernet Sauvignon (8%), Syrah (6%)",14.5,14.5,27.0,Cariñena,4,Mixed
Mas del Camperol,Celler Mas Garrian,Cataluña,Priorat,2001.0,Red,"Garnacha (35%), Cabernet Sauvignon (30%), Cariñena (20%), Syrah (15%)",14.5,14.5,25.0,Garnacha,4,Mixed
Finca Dofí,Alvaro Palacios,Cataluña,Priorat,2001.0,Red,"Cabernet Sauvignon, Merlot, Cariñena, Garnacha",14.0,14.5,60.0,Cabernet,4,Mixed
Roquers de Porrera,Celler de L'Encastell,Cataluña,Priorat,2000.0,Red,"Garnacha, Cariñena",14.0,13.5,33.0,Garnacha,2,Mixed
Pleret,Buil & Giné,Cataluña,Priorat,2000.0,Red,Otras (%),14.0,13.0,28.0,Otras,1,Pure
Mas Igneus FA 112,Mas Igneus,Cataluña,Priorat,2000.0,Red,"Garnacha (75%), Cariñena (20%), Cabernet Sauvignon (5%)",14.0,13.0,27.6,Garnacha,3,Mixed
Miserere,Costers del Siurana,Cataluña,Priorat,2000.0,Red,"Cabernet Sauvignon, Garnacha, Tempranillo, Merlot, Cariñena",13.5,12.5,33.0,Cabernet,5,Mixed
Odysseus,Viñedos de Ithaca,Cataluña,Priorat,2000.0,Red,Otras (%),13.5,12.5,29.6,Otras,1,Pure
Solarce Reserva,Bodegas Alicia Rojas,La Rioja (España),Rioja,1999.0,Red,Tempranillo,12.5,15.0,9.0,Tempranillo,1,Pure
Finca Alicia Rojas Reserva,Bodegas Alicia Rojas,La Rioja (España),Rioja,1999.0,Red,Tempranillo,13.0,15.0,11.0,Tempranillo,1,Pure
Solabal Reserva,Bodegas y Viñedos Solabal,La Rioja (España),Rioja,1999.0,Red,Tempranillo,13.5,14.5,9.02,Tempranillo,1,Pure
Glorioso Reserva,Bodegas Palacio,La Rioja (España),Rioja,1999.0,Red,Tempranillo (100%),12.5,14.0,10.35,Tempranillo,1,Pure
Luis Cañas Reserva,Bodegas Luis Cañas,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (95%), Garnacha, Graciano, Mazuelo",13.0,14.0,11.96,Tempranillo,4,Mixed
Viña Izadi Reserva,Viña Villabuena (Izadi),La Rioja (España),Rioja,1999.0,Red,"Tempranillo (73%), Graciano (15%), Otras (12%)",13.5,13.0,14.0,Tempranillo,3,Mixed
Gonzalo de Berceo Reserva,Bodegas Berceo,La Rioja (España),Rioja,1998.0,Red,Tempranillo,12.5,12.5,10.82,Tempranillo,1,Pure
Beronia Reserva,Bodegas Beronia,La Rioja (España),Rioja,1998.0,Red,"Tempranillo, Graciano, Mazuelo",12.5,12.5,15.0,Tempranillo,3,Mixed
Viña Pomal Reserva,Bodegas Bilbaínas,La Rioja (España),Rioja,1998.0,Red,"Tempranillo (85%), Mazuelo, Graciano",12.5,12.0,11.0,Tempranillo,3,Mixed
Marqués de Arienzo Reserva,Bodegas Domecq,La Rioja (España),Rioja,1998.0,Red,"Tempranillo (95%), Graciano, Mazuelo",13.0,12.0,14.0,Tempranillo,3,Mixed
Conde de Valdemar Reserva,Bodegas Valdemar,La Rioja (España),Rioja,1998.0,Red,"Tempranillo (85%), Mazuelo (15%)",13.0,12.0,9.18,Tempranillo,2,Mixed
Barón de Oña Reserva,Torre de Oña,La Rioja (España),Rioja,1997.0,Red,Tempranillo,13.0,16.0,12.25,Tempranillo,1,Pure
Labarona Reserva,Hacienda Grimón,La Rioja (España),Rioja,1999.0,Red,"Tempranillo (85%), Graciano (15%)",13.0,15.0,21.0,Tempranillo,2,Mixed
Viña Pomal Selección Centenario Reserva,Bodegas Bilbaínas,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,15.0,14.0,Tempranillo,1,Pure
Marqués de Murrieta Reserva,Bodegas Marqués de Murrieta,La Rioja (España),Rioja,1999.0,Red,"Tempranillo (85%), Mazuelo (8%), Garnacha (7%)",13.0,14.5,15.0,Tempranillo,3,Mixed
Luis Cañas Gran Reserva,Bodegas Luis Cañas,La Rioja (España),Rioja,1995.0,Red,"Teroldego (95%), Graciano (5%)",13.0,14.0,21.0,Teroldego,2,Mixed
Herencia Remondo La Montesa Reserva,Bodegas Palacios Remondo,La Rioja (España),Rioja,1999.0,Red,Tempranillo,13.0,13.5,15.55,Tempranillo,1,Pure
Faustino I Gran Reserva,Bodegas Faustino,La Rioja (España),Rioja,1995.0,Red,Tempranillo,13.0,13.0,17.73,Tempranillo,1,Pure
Marqués de Vitoria Reserva,Bodegas Marqués de Vitoria,La Rioja (España),Rioja,1995.0,Red,Tempranillo (100%),13.0,13.0,10.75,Tempranillo,1,Pure
Luis Cañas Reserva Selecc. de la Familia,Bodegas Luis Cañas,La Rioja (España),Rioja,1997.0,Red,Tempranillo,13.5,13.0,18.0,Tempranillo,1,Pure
Campillo Reserva,Bodegas Campillo,La Rioja (España),Rioja,1996.0,Red,Tempranillo,13.0,12.5,14.26,Tempranillo,1,Pure
Faustino V Reserva,Bodegas Faustino,La Rioja (España),Rioja,1998.0,Red,Tempranillo,13.0,12.5,9.42,Tempranillo,1,Pure
Marqués de Arienzo Gran Reserva,Bodegas Domecq,La Rioja (España),Rioja,1995.0,Red,Tempranillo (100%),13.0,12.5,20.0,Tempranillo,1,Pure
La Vicalanda Reserva,Bodegas Bilbaínas,La Rioja (España),Rioja,1999.0,Red,Tempranillo (100%),13.0,12.5,17.0,Tempranillo,1,Pure
Viña Ardanza Reserva,"La Rioja Alta, SA",La Rioja (España),Rioja,1998.0,Red,"Tempranillo (80%), Garnacha (20%)",13.0,12.0,14.33,Tempranillo,2,Mixed
Blecua,Viñas del Vero,Aragón,Somontano,2000.0,Red,"Merlot, Cabernet Sauvignon, Garnacha, Tempranillo",13.5,16.5,65.0,Merlot,4,Mixed
Vino Primero Maceración Carbónica,Bodegas Fariña,Castilla y León,Toro,2003.0,Red,Tinta de Toro (100%),13.5,15.0,4.3,Tinta,1,Pure
El Sequé,Laderas de Pinoso (Bodegas El Sequé),Comunidad Valenciana,Alicante,2001.0,Red,"Monastrell, Cabernet Sauvignon, Syrah",13.5,15.0,15.0,Monastrell,3,Mixed
Marqués de Murrieta El Dorado Reserva,Bodegas Marqués de Murrieta,La Rioja (España),Rioja,1999.0,White,Viura (100%),13.0,14.0,11.0,Viura,1,Pure
Señorío de Toledo Primvs Tinto Joven,Bodegas Garva,Castilla La Mancha,Otros Castilla La Mancha,2003.0,Red,"Garnacha, Merlot",13.5,14.0,5.0,Garnacha,2,Mixed
Santa Cruz de Artazu,Bodegas y Viñedos Artazu,Unknown,Navarra,2001.0,Red,Garnacha,14.0,12.5,18.5,Garnacha,1,Pure
Equus,Viña Santa Marina,Extremadura,Otros Extremadura,2001.0,Red,"Tempranillo (85%), Cabernet Sauvignon (10%), Syrah (5%)",13.0,12.0,3.25,Tempranillo,3,Mixed
Gloria de Ostatu,Bodegas Ostatu,La Rioja (España),Rioja,2001.0,Red,Tempranillo,14.5,15.5,30.0,Tempranillo,1,Pure
Barón D'Anglade Reserva,Bodegas Franco-Españolas,La Rioja (España),Rioja,1995.0,Red,"Tempranillo, Mazuelo, Graciano",13.0,15.5,32.0,Tempranillo,3,Mixed
Los Dominios de Berceo Prefiloxérico,Bodegas Berceo,La Rioja (España),Rioja,2000.0,Red,Tempranillo,13.0,15.0,39.0,Tempranillo,1,Pure
Propiedad H. Remondo,Bodegas Palacios Remondo,La Rioja (España),Rioja,2001.0,Red,Tempranillo,13.5,15.0,16.85,Tempranillo,1,Pure
Cosme Palacio y Hermanos Crianza,Bodegas Palacio,La Rioja (España),Rioja,2001.0,Red,Tempranillo,13.0,14.5,15.0,Tempranillo,1,Pure
Paisajes V Valsalado,Paisajes y Viñedos,La Rioja (España),Rioja,2000.0,Red,Tempranillo,13.0,14.0,13.5,Tempranillo,1,Pure
Campillo Reserva Especial,Bodegas Campillo,La Rioja (España),Rioja,1995.0,Red,Tempranillo,13.0,14.0,25.4,Tempranillo,1,Pure
