Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Premeditación,Viñedos y Bodega Julio Crespo,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,13.0,13.5,10.15,Prieto,1,Pure
Tampesta Roble,Bodegas Tampesta,Unknown,Tierra de León,2006.0,Red,"Prieto Picudo, Tempranillo",13.0,13.0,6.2,Prieto,2,Mixed
Villacezán Seis Meses,Bodegas Villacezán,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,14.0,13.0,7.0,Prieto,1,Pure
Estay,Dominio Dostares,Unknown,Castilla y León,2005.0,Red,Prieto Picudo,13.5,12.5,8.0,Prieto,1,Pure
Viña El Pico de los Cerros (Magnum),Nicolás Rey e Hijos,Unknown,Tierra de León,2004.0,Red,Prieto Picudo,13.5,12.0,20.0,Prieto,1,Pure
Alevosía,Viñedos y Bodega Julio Crespo,Unknown,Tierra de León,2006.0,Red,Mencía,12.5,11.5,10.15,Mencía,1,Pure
Finca Montegrande,Bodegas Arturo Alvarez,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,13.0,11.0,3.5,Prieto,1,Pure
D'Ornia,Bodegas Ribera del Ornia,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,13.5,10.0,3.75,Prieto,1,Pure
Viña El Pico de los Cerros,Nicolás Rey e Hijos,Unknown,Tierra de León,2007.0,Red,Prieto Picudo,13.5,10.0,3.0,Prieto,1,Pure
D'Ornia Roble,Bodegas Ribera del Ornia,Unknown,Tierra de León,2005.0,Red,Prieto Picudo,13.5,10.0,5.5,Prieto,1,Pure
La Rentera Roble,Viñedos y Bodega Julio Crespo,Unknown,Tierra de León,2006.0,Red,"Mencía, Prieto Picudo",12.5,10.0,5.1,Mencía,2,Mixed
Joan Sardà Chardonnay,Bodegas Joan Sardá,Cataluña,Penedès,2007.0,White,Chardonnay,13.0,14.0,6.9,Chardonnay,1,Pure
Waltraud Riesling,Familia Torres,Cataluña,Penedès,2007.0,White,Riesling,13.0,14.0,15.0,Riesling,1,Pure
Gran Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,2006.0,White,"Chardonnay, Chenin Blanc, Xarel·lo",12.5,13.5,13.0,Chardonnay,3,Mixed
Albet i Noya Clàssic Xarel.lo,Albet i Noya,Cataluña,Penedès,2007.0,White,Xarel·lo,12.5,13.5,4.95,Xarel,1,Pure
Blanc Mariner Xarel.lo-Chardonnay,Bodegas Joan Sardá,Cataluña,Penedès,2007.0,White,"Xarel·lo (50%), Chardonnay (50%)",12.0,13.5,3.8,Xarel,2,Mixed
Heretat Vall-Ventós Blanc de Noir,Joan Raventós Rosell,Cataluña,Penedès,2007.0,White,Pinot Noir,12.0,13.5,8.25,Pinot,1,Pure
Mas Escorpí Chardonnay,Gramona,Cataluña,Penedès,2007.0,White,Chardonnay,12.5,13.5,9.5,Chardonnay,1,Pure
Terrasola Muscat-Garnacha Blanca,Jean Leon,Cataluña,Catalunya,2007.0,White,"Muscat, Garnacha Blanca",12.0,13.5,11.0,Muscat,2,Mixed
Ginesta,Parés Baltà,Cataluña,Penedès,2007.0,White,Gewürztraminer,13.0,13.0,15.0,Gewürztraminer,1,Pure
Giró Ribot Blanc de Blancs,Giró Ribot,Cataluña,Penedès,2007.0,White,Otras,11.5,13.0,4.52,Otras,1,Pure
