Wine,Winery,Country,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Viñas del Vero Clarión,Viñas del Vero,España,Aragón,Somontano,1996,Blanco,Otras (100%),,15.5,7.25 
Anima Negra Callet,Anima Negra,España,Baleares,Otros Baleares,1998,Tinto,Callet (100%),,18.0,39.00
Veigadares,Adegas Galegas,España,Galicia,Rías Baixas,1996,Blanco,"Albariño (85%), Treixadura (10%), Loureiro (5%)",,15.5,10.82
Trapiche Mendoza Malbec Oak Aged,Bodegas Trapiche,Argentina,N/D,Mendoza,1992,Tinto,Malbec (100%),,16.0,5.70 
Viña Pedrosa Reserva,Bodegas Hnos. Pérez Pascuas,España,Castilla y León,Ribera del Duero,1994,Tinto,Tinto Fino (100%),,18.5,14.42
Solar de Urbezo Crianza,Bodegas Solar de Urbezo,España,Aragón,Cariñena,1997,Tinto,"Merlot (40%), Cabernet Sauvignon (40%), Tempranillo (20%)",,16.5,6.00 
Tinto Pesquera Reserva,Alejandro Fernández Tinto Pesquera,España,Castilla y León,Ribera del Duero,1994,Tinto,Tempranillo (100%),,18.0,16.22
Les Terrasses,Alvaro Palacios,España,Cataluña,Priorat,1996,Tinto,"Garnacha (50%), Cariñena (40%), Cabernet Sauvignon (10%)",,17.0,10.82
Vilerma,A Vilerma,España,Galicia,Ribeiro,1996,Blanco,"Treixadura (70%), Albariño (10%), Godello (10%), Loureiro (10%)",,15.0,6.00 
Riberal Crianza,Bodegas Santa Eulalia,España,Castilla y León,Ribera del Duero,1994,Tinto,Tempranillo (100%),,16.0,7.80 
Dominio de Valdepusa Cabernet Sauvignon,Pagos de Familia Marqués de Griñón,España,Castilla La Mancha,Otros Castilla La Mancha,1996,Tinto,Cabernet Sauvignon (100%),,17.0,10.82
Condado de Haza,Alejandro Fernández Tinto Pesquera,España,Castilla y León,Ribera del Duero,1995,Tinto,Tempranillo (100%),,16.0,7.20 
Viña Pomal Reserva,Bodegas Bilbaínas,España,La Rioja (España),Rioja,1991,Tinto,"Tempranillo (80%), Graciano (10%), Mazuelo (10%)",,15.0,8.41 
Sabatacha Crianza,Bodegas Coop. San Isidro (Bsi),España,Murcia,Jumilla,1995,Tinto,Monastrell (100%),,15.0,4.20 
Monte Ory,Luis Gurpegui Muga,España,N/D,Navarra,1998,Rosado,Garnacha (100%),,15.0,2.70 
